Timestamp	ICMP Ping	rDNS	Serviceprobe	Hostprobes	Syncscan	TcpIP Fingerprint	Traceroute	IP Seq	
1341684000	0	0	0	0	0	0	0	0	
1341698400	0	0	68947679	0	0	0	0	0	
1341712800	0	0	57855656	0	0	0	0	0	
1341727200	0	0	61906390	0	0	0	0	0	
1341741600	0	0	67802210	0	0	0	0	0	
1341756000	0	0	67972099	0	0	0	0	0	
1341770400	0	0	64259032	0	0	0	0	0	
1341784800	0	0	63292441	0	0	0	0	0	
1341799200	0	0	62303647	0	0	0	0	0	
1341813600	0	0	72256017	0	0	0	0	0	
1341828000	0	0	81064614	0	0	0	0	0	
1341842400	0	0	69237758	0	0	0	0	0	
1341856800	0	0	67310054	0	0	0	0	0	
1341871200	0	0	72747214	0	0	0	0	0	
1341885600	0	0	58075849	0	0	0	0	0	
1341900000	0	0	52672041	0	0	0	0	0	
1341914400	0	0	52805419	0	0	0	0	0	
1341928800	0	0	63286723	0	0	0	0	0	
1341943200	0	0	76435835	0	0	0	0	0	
1341957600	0	0	65042330	0	0	0	0	0	
1341972000	0	0	49032735	0	0	0	0	0	
1341986400	0	0	52720186	0	0	0	0	0	
1342000800	0	0	68495982	0	0	0	0	0	
1342015200	0	0	84284481	0	0	0	0	0	
1342029600	0	0	64371399	0	0	0	0	0	
1342044000	0	0	66201387	0	0	0	0	0	
1342058400	0	0	79947722	0	0	0	0	0	
1342072800	0	0	74199696	0	0	0	0	0	
1342087200	0	0	71127387	0	0	0	0	0	
1342101600	0	0	60212993	0	0	0	0	0	
1342116000	0	0	80804935	0	0	0	0	0	
1342130400	0	0	78231422	0	0	0	0	0	
1342144800	0	0	65023565	0	0	0	0	0	
1342159200	0	0	65796851	0	0	0	0	0	
1342173600	0	0	61902936	0	0	0	0	0	
1342188000	0	0	62330131	0	0	0	0	0	
1342202400	0	0	72778715	0	0	0	0	0	
1342216800	0	0	56352076	0	0	0	0	0	
1342231200	0	0	58404868	0	0	0	0	0	
1342245600	0	0	86932181	0	0	0	0	0	
1342260000	0	0	88469292	0	0	0	0	0	
1342274400	0	0	84667178	0	0	0	0	0	
1342288800	0	0	52854940	0	0	0	0	0	
1342303200	0	0	61006679	0	0	0	0	0	
1342317600	0	0	69376951	0	0	0	0	0	
1342332000	0	0	51331397	0	0	0	0	0	
1342346400	0	0	59011591	0	0	0	0	0	
1342360800	0	0	68624815	0	0	0	0	0	
1342375200	0	0	62512939	0	0	0	0	0	
1342389600	0	0	0	0	0	0	0	0	
1342404000	0	0	62945280	0	0	0	0	0	
1342418400	0	0	87868876	0	0	0	0	0	
1342432800	0	0	83714562	0	0	0	0	0	
1342447200	0	0	47452364	3709	0	0	0	0	
1342461600	0	0	49657818	372940	73835	8430	0	7686	
1342476000	0	0	52320738	0	0	0	0	0	
1342490400	0	0	42096164	0	0	0	0	0	
1342504800	0	0	37397385	0	0	0	0	0	
1342519200	0	0	0	0	0	0	0	0	
1342533600	0	0	60039540	0	0	0	0	0	
1342548000	0	0	75131886	0	0	0	0	0	
1342562400	0	0	69054143	0	0	0	0	0	
1342576800	0	0	72791877	0	0	0	0	0	
1342591200	0	0	64878001	5443	0	0	0	0	
1342605600	0	0	60744955	0	0	0	0	0	
1342620000	0	0	60889978	0	0	0	0	0	
1342634400	0	0	82891464	0	0	0	0	0	
1342648800	0	0	88530902	0	0	0	0	0	
1342663200	0	0	67479920	0	0	0	0	0	
1342677600	0	0	73401455	0	0	0	0	0	
1342692000	0	0	0	0	0	0	0	0	
1342706400	0	0	75349016	0	0	0	0	0	
1342720800	0	0	73649871	0	0	0	0	0	
1342735200	0	0	77329538	0	0	0	0	0	
1342749600	0	0	78442592	0	0	0	0	0	
1342764000	0	0	87782263	0	0	0	0	0	
1342778400	0	0	73161358	0	0	0	0	0	
1342792800	0	0	68874992	312200	61750	6527	0	5972	
1342807200	0	0	78209947	0	0	0	0	0	
1342821600	0	0	81937574	0	0	0	0	0	
1342836000	0	0	81018098	0	0	0	0	0	
1342850400	0	0	77601233	0	0	0	0	0	
1342864800	0	0	87002190	0	0	0	0	0	
1342879200	0	0	70543034	22533	3850	0	0	0	
1342893600	0	0	39318096	0	0	0	0	0	
1342908000	0	0	28260073	0	0	0	0	0	
1342922400	0	0	4672508	0	0	0	0	0	
1342936800	0	0	2522417	0	0	0	0	0	
1342951200	0	0	4778565	0	0	0	0	0	
1342965600	0	0	15226695	0	0	0	0	0	
1342980000	0	0	45712851	0	0	0	0	0	
1342994400	0	0	59030937	0	0	0	0	0	
1343008800	0	0	67018900	0	0	0	0	0	
1343023200	0	0	79505513	0	0	0	0	0	
1343037600	0	0	83512432	0	0	0	0	0	
1343052000	0	0	90333516	0	0	0	0	0	
1343066400	0	0	0	0	0	0	0	0	
1343080800	0	0	0	0	0	0	0	0	
1343095200	0	0	81048915	0	0	0	0	0	
1343109600	0	0	82791456	0	0	0	0	0	
1343124000	0	0	80917989	0	0	0	0	0	
1343138400	0	0	77573566	0	0	0	0	0	
1343152800	0	0	80425933	0	0	0	0	0	
1343167200	0	0	75097380	0	0	0	0	0	
1343181600	0	0	80707160	0	0	0	0	0	
1343196000	0	0	74039720	0	0	0	0	0	
1343210400	0	0	91223402	0	0	0	0	0	
1343224800	0	0	94237929	0	0	0	0	0	
1343239200	0	0	87999632	0	0	0	0	0	
1343253600	0	0	86831858	0	0	0	0	0	
1343268000	0	0	91917912	0	0	0	0	0	
1343282400	0	0	84369960	0	0	0	0	0	
1343296800	0	0	0	0	0	0	0	0	
1343311200	0	0	101797003	0	0	0	0	0	
1343325600	0	0	73472662	0	0	0	0	0	
1343340000	0	0	80047951	0	0	0	0	0	
1343354400	0	0	77217485	0	0	0	0	0	
1343368800	0	0	93944541	0	0	0	0	0	
1343383200	0	0	89593451	0	0	0	0	0	
1343397600	0	0	92050117	0	0	0	0	0	
1343412000	0	0	0	0	0	0	0	0	
1343426400	0	0	112694883	0	0	0	0	0	
1343440800	0	0	98133913	0	0	0	0	0	
1343455200	0	0	97679540	0	0	0	0	0	
1343469600	0	0	0	0	0	0	0	0	
1343484000	0	0	92364179	0	0	0	0	0	
1343498400	0	0	97867719	0	0	0	0	0	
